date_UTC,PopulationName,Latitude_decimalDegree,Longitude_decimalDegree,CellAbundance_10^6_cells_per_L,Biomass_pgC_per_L,CellQuotas_fgC_per_cell,CellDiameter_micrometer,Salinity_psu,Temperature_degC,cruisename,Light_micromolQuanta_m2_s,SiO4_micromol_per_L,NO3NO2_micromol_per_L,PO4_micromol_per_L,Fe_micromol_per_L,SatelliteCHL_microgramCHL_per_L,MixedLayerDepth_m
2016-04-20T00:00:00Z,Prochlorococcus,NA,NA,253.186148,9.232478116,0.036465179,0.57858,34.67912841,25.74054659,KOK1606,1764.076136,NA,NA,NA,NA,NA,26.96643939
2016-04-20T00:00:00Z,Synechococcus,NA,NA,1.588988684,0.279172358,0.175691848,1.06425,34.67912841,25.74054659,KOK1606,1764.076136,NA,NA,NA,NA,NA,26.96643939
2016-04-20T00:00:00Z,nanoeukaryotes (2-5µm),NA,NA,1.332641539,3.079117581,2.310536998,2.88901,34.67912841,25.74054659,KOK1606,1764.076136,NA,NA,NA,NA,NA,26.96643939
2016-04-20T00:00:00Z,picoeukaryotes (< 2µm),NA,NA,1.252646685,0.6065723,0.484232551,1.57653,34.67912841,25.74054659,KOK1606,1764.076136,NA,NA,NA,NA,NA,26.96643939
2016-04-20T01:00:00Z,Prochlorococcus,NA,NA,262.0994355,10.17540209,0.038822678,0.5928,34.70428621,25.62446552,KOK1606,1450.07931,NA,NA,NA,NA,NA,26.96643939
2016-04-20T01:00:00Z,Synechococcus,NA,NA,2.787535413,0.584774297,0.209781836,1.13997,34.70428621,25.62446552,KOK1606,1450.07931,NA,NA,NA,NA,NA,26.96643939
2016-04-20T01:00:00Z,nanoeukaryotes (2-5µm),NA,NA,1.812898113,4.222887637,2.329357402,2.89811,34.70428621,25.62446552,KOK1606,1450.07931,NA,NA,NA,NA,NA,26.96643939
2016-04-20T01:00:00Z,picoeukaryotes (< 2µm),NA,NA,1.585603966,0.797289378,0.502830085,1.59973,34.70428621,25.62446552,KOK1606,1450.07931,NA,NA,NA,NA,NA,26.96643939
2016-04-20T02:00:00Z,Prochlorococcus,NA,NA,262.1917872,11.28572092,0.043043762,0.617,34.80261414,25.21492222,KOK1606,1035.932828,NA,NA,NA,NA,NA,26.96643939
2016-04-20T02:00:00Z,Synechococcus,NA,NA,4.339938492,0.886705459,0.204312909,1.12836,34.80261414,25.21492222,KOK1606,1035.932828,NA,NA,NA,NA,NA,26.96643939
2016-04-20T02:00:00Z,nanoeukaryotes (2-5µm),NA,NA,2.017776833,4.739452607,2.348848758,2.90749,34.80261414,25.21492222,KOK1606,1035.932828,NA,NA,NA,NA,NA,26.96643939
2016-04-20T02:00:00Z,picoeukaryotes (< 2µm),NA,NA,1.718301439,0.831754741,0.484056361,1.57631,34.80261414,25.21492222,KOK1606,1035.932828,NA,NA,NA,NA,NA,26.96643939
2016-04-20T03:00:00Z,Prochlorococcus,NA,NA,260.2777602,12.64369308,0.048577693,0.64661,34.801735,24.78296,KOK1606,523.215,NA,NA,NA,NA,NA,26.96643939
2016-04-20T03:00:00Z,Synechococcus,NA,NA,3.148098052,0.647002844,0.205521821,1.13094,34.801735,24.78296,KOK1606,523.215,NA,NA,NA,NA,NA,26.96643939
2016-04-20T03:00:00Z,nanoeukaryotes (2-5µm),NA,NA,1.727854232,4.327117286,2.504330056,2.98062,34.801735,24.78296,KOK1606,523.215,NA,NA,NA,NA,NA,26.96643939
2016-04-20T03:00:00Z,picoeukaryotes (< 2µm),NA,NA,1.44969588,0.599806414,0.413746374,1.48328,34.801735,24.78296,KOK1606,523.215,NA,NA,NA,NA,NA,26.96643939
2016-04-20T04:00:00Z,Prochlorococcus,NA,NA,258.3671642,12.40723988,0.048021736,0.64373,34.773085,24.775875,KOK1606,160.57475,NA,NA,NA,NA,NA,26.96643939
2016-04-20T04:00:00Z,Synechococcus,NA,NA,2.495590788,0.523129882,0.209621659,1.13964,34.773085,24.775875,KOK1606,160.57475,NA,NA,NA,NA,NA,26.96643939
2016-04-20T04:00:00Z,nanoeukaryotes (2-5µm),NA,NA,1.72645789,4.264373543,2.470013065,2.96473,34.773085,24.775875,KOK1606,160.57475,NA,NA,NA,NA,NA,26.96643939
2016-04-20T04:00:00Z,picoeukaryotes (< 2µm),NA,NA,1.227339732,0.548395263,0.44681619,1.52815,34.773085,24.775875,KOK1606,160.57475,NA,NA,NA,NA,NA,26.96643939
2016-04-20T05:00:00Z,Prochlorococcus,NA,NA,248.1503359,11.99283184,0.048328896,0.64532,34.78182105,24.82727895,KOK1606,4.301873684,NA,NA,NA,NA,NA,26.96643939
2016-04-20T05:00:00Z,Synechococcus,NA,NA,3.165746037,0.629438279,0.198827787,1.11652,34.78182105,24.82727895,KOK1606,4.301873684,NA,NA,NA,NA,NA,26.96643939
2016-04-20T05:00:00Z,nanoeukaryotes (2-5µm),NA,NA,1.820562329,4.427664534,2.432031281,2.94697,34.78182105,24.82727895,KOK1606,4.301873684,NA,NA,NA,NA,NA,26.96643939
2016-04-20T05:00:00Z,picoeukaryotes (< 2µm),NA,NA,1.469195522,0.671172142,0.456829695,1.54134,34.78182105,24.82727895,KOK1606,4.301873684,NA,NA,NA,NA,NA,26.96643939
2016-04-20T06:00:00Z,Prochlorococcus,NA,NA,239.0044705,10.79748084,0.045176899,0.62867,34.81742941,24.57269412,KOK1606,0.021811765,NA,NA,NA,NA,NA,26.96643939
2016-04-20T06:00:00Z,Synechococcus,NA,NA,2.939758455,0.568887098,0.193514912,1.10486,34.81742941,24.57269412,KOK1606,0.021811765,NA,NA,NA,NA,NA,26.96643939
2016-04-20T06:00:00Z,nanoeukaryotes (2-5µm),NA,NA,1.705714467,4.028717576,2.361894475,2.91374,34.81742941,24.57269412,KOK1606,0.021811765,NA,NA,NA,NA,NA,26.96643939
2016-04-20T06:00:00Z,picoeukaryotes (< 2µm),NA,NA,1.357255868,0.635944875,0.468551943,1.55655,34.81742941,24.57269412,KOK1606,0.021811765,NA,NA,NA,NA,NA,26.96643939
2016-04-20T07:00:00Z,Prochlorococcus,21.52032632,-158.3269842,259.6617376,10.52044346,0.040515956,0.60269,34.893785,24.351745,KOK1606,0.0193,NA,NA,NA,NA,NA,26.96643939
2016-04-20T07:00:00Z,Synechococcus,21.52032632,-158.3269842,1.80853186,0.34142874,0.188787794,1.09432,34.893785,24.351745,KOK1606,0.0193,NA,NA,NA,NA,NA,26.96643939
2016-04-20T07:00:00Z,nanoeukaryotes (2-5µm),21.52032632,-158.3269842,1.53193287,3.338212456,2.179085339,2.82416,34.893785,24.351745,KOK1606,0.0193,NA,NA,NA,NA,NA,26.96643939
2016-04-20T07:00:00Z,picoeukaryotes (< 2µm),21.52032632,-158.3269842,1.433732045,0.701902096,0.489562955,1.58324,34.893785,24.351745,KOK1606,0.0193,NA,NA,NA,NA,NA,26.96643939
2016-04-20T08:00:00Z,Prochlorococcus,21.66271,-158.32343,266.184401,9.309386899,0.03497345,0.56929,34.90237647,24.33926471,KOK1606,0.020382353,NA,NA,NA,NA,NA,NA
2016-04-20T08:00:00Z,Synechococcus,21.66271,-158.32343,2.092454888,0.374116796,0.178793243,1.07149,34.90237647,24.33926471,KOK1606,0.020382353,NA,NA,NA,NA,NA,NA
