population,time,lat,lon,NO3NO2,PO4,Fe,SiO4,Satellite_CHL,temp,salin,biomass
non_pro_syn,2023-02-25 05:40:00,21.3067,-157.0366,0.0005617213314508,0.21250528924995,0.0004325956717315,2.092356171872881,0.0720182370730779,24.03829,34.93311,6.716404653669264
non_pro_syn,2023-02-25 05:50:00,21.3142,-157.0321,0.0005617213314508,0.21250528924995,0.0004325956717315,2.092356171872881,0.0720182370730779,24.0135,34.923199999999994,10.023072263350144
prochloro,2023-02-25 05:50:00,21.3141,-157.03163333333336,0.0005617213314508,0.21250528924995,0.0004325956717315,2.092356171872881,0.0720182370730779,24.0135,34.923199999999994,3.4412972072576244
non_pro_syn,2023-02-25 06:00:00,21.3123,-157.0168,0.0005617213314508,0.21250528924995,0.0004325956717315,2.092356171872881,0.0720182370730779,23.98739,34.93976,11.478879237662772
prochloro,2023-02-25 06:00:00,21.3125,-157.01909999999998,0.0005617213314508,0.21250528924995,0.0004325956717315,2.092356171872881,0.0720182370730779,23.98739,34.93976,3.9290651292869176
non_pro_syn,2023-02-25 06:10:00,21.3117,-156.9975,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912,23.98893,34.94376,9.602476481571603
prochloro,2023-02-25 06:10:00,21.311666666666664,-156.99743333333333,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912,23.98893,34.94376,3.3867424519504
non_pro_syn,2023-02-25 06:20:00,21.31105,-156.9805,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912,23.98837,34.94295,10.33447794183958
prochloro,2023-02-25 06:20:00,21.311166666666665,-156.98293333333334,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912,23.98837,34.94295,3.3290838562166463
non_pro_syn,2023-02-25 06:30:00,21.31005,-156.9708,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912,24.00662,34.96166,9.294128517090744
prochloro,2023-02-25 06:30:00,21.3094,-156.9631,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912,24.00662,34.96166,2.8623499755236845
non_pro_syn,2023-02-25 06:40:00,21.308166666666665,-156.94816666666668,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912,23.95858,34.943110000000004,12.554424195130292
prochloro,2023-02-25 06:40:00,21.308166666666665,-156.94816666666668,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912,23.95858,34.943110000000004,3.599114120909159
non_pro_syn,2023-02-25 06:50:00,21.3073,-156.93565,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912,23.8716,34.93694,13.92361947217599
prochloro,2023-02-25 06:50:00,21.307133333333333,-156.9332,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912,23.8716,34.93694,3.785713328671132
non_pro_syn,2023-02-25 07:00:00,21.30593333333333,-156.91856666666666,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912,23.90952,34.95535,11.454128276926342
non_pro_syn,2023-02-25 07:10:00,21.3049,-156.9043,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912,23.95437,34.95013,11.77655356685563
prochloro,2023-02-25 07:10:00,21.3047,-156.901675,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912,23.95437,34.95013,3.4380559086316564
non_pro_syn,2023-02-25 07:20:00,21.30313333333333,-156.8839,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912,23.99014,34.94841,12.47373301169524
prochloro,2023-02-25 07:20:00,21.30313333333333,-156.8839,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912,23.99014,34.94841,3.168655506034151
non_pro_syn,2023-02-25 07:30:00,21.30173333333333,-156.86913333333334,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912,24.02076,34.94397,12.986727886291138
prochloro,2023-02-25 07:30:00,21.30195,-156.87155,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912,24.02076,34.94397,3.1116728839325445
non_pro_syn,2023-02-25 07:40:00,21.300425,-156.851675,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912,24.02769,34.92634,13.173173031150624
prochloro,2023-02-25 07:40:00,21.30023333333333,-156.84913333333333,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912,24.02769,34.92634,3.0563086555969936
non_pro_syn,2023-02-25 07:50:00,21.299,-156.8315,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912,24.16596,34.89394,12.028233048474434
prochloro,2023-02-25 07:50:00,21.2996,-156.8403,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912,24.16596,34.89394,2.841668457116912
non_pro_syn,2023-02-25 08:00:00,21.29875,-156.82475,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912,24.30519,34.87648,11.359384593295973
prochloro,2023-02-25 08:00:00,21.29863333333333,-156.8225,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912,24.30519,34.87648,2.55140496320622
non_pro_syn,2023-02-25 08:10:00,21.297375,-156.805475,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912,24.40443,34.86182,11.98730964806026
prochloro,2023-02-25 08:10:00,21.297375,-156.805475,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912,24.40443,34.86182,2.256678385051935
non_pro_syn,2023-02-25 08:20:00,21.2953,-156.7882,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912,24.43527,34.86327,11.195102231655753
prochloro,2023-02-25 08:20:00,21.2958,-156.7931,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912,24.43527,34.86327,1.9875431830011727
non_pro_syn,2023-02-25 08:30:00,21.2943,-156.7783,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912,24.34594,34.86406,8.596196700540702
prochloro,2023-02-25 08:30:00,21.29383333333333,-156.77373333333333,0.0005335358248683,0.2111381107113427,0.000449521122189,2.0895654619154005,0.0723361108684912,24.34594,34.86406,1.3478697682228322
